size(N) iter time(total) iter/s memory(kBytes)
50 1000 0.506631 1973.823557 3000
50 1000 0.275584 3628.661057 3000
50 1000 0.181923 5496.840922 3000
50 1000 0.246245 4061.001622 3000
50 1000 0.334688 2987.853553 3000
75 1000 1.792995 557.726121 10125
75 1000 0.977847 1022.655268 10125
75 1000 0.514948 1941.944063 10125
75 1000 0.576007 1736.090346 10125
75 1000 0.591915 1689.431387 10125
100 1000 4.276278 233.848193 24000
100 1000 2.163132 462.292700 24000
100 1000 1.148973 870.342480 24000
100 1000 1.192459 838.603349 24000
100 1000 1.103427 906.267137 24000
150 1000 14.900535 67.111686 81000
150 1000 7.490952 133.494389 81000
150 1000 3.812628 262.286290 81000
150 1000 3.928916 254.523101 81000
150 1000 3.342933 299.138538 81000
